Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,12,2,17.3,3.3,5.3,.619,0.0,0.0,0,3.3,5.3,.619,.619,1.7,3.2,.526,2.2,3.5,5.7,0.9,0.2,0.3,1.3,2.7,8.2
Jaylen Adams,PG,24,MIL,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Adams,C,27,NOP,13,13,30.6,4.2,6.5,.635,0.0,0.0,0,4.2,6.5,.635,.635,1.5,2.8,.514,3.8,5.2,9.0,2.6,1.2,0.7,1.8,1.6,9.8
Bam Adebayo,C,23,MIA,10,10,31.3,6.9,10.7,.645,0.0,0.1,.000,6.9,10.6,.651,.645,5.7,6.7,.851,1.2,7.8,9.0,5.1,1.0,1.2,3.6,2.8,19.5
LaMarcus Aldridge,C,35,SAS,11,11,27.9,6.2,14.0,.442,1.0,3.7,.268,5.2,10.3,.504,.477,1.0,1.2,.846,0.8,3.9,4.7,2.4,0.5,0.7,1.3,1.9,14.4
Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
Nickeil Alexander-Walker,SG,22,NOP,11,3,20.1,4.4,9.6,.453,1.5,4.1,.356,2.9,5.5,.525,.528,0.9,1.2,.769,0.3,2.7,3.0,1.8,1.0,0.2,1.5,2.1,11.1
Grayson Allen,SG,25,MEM,12,4,21.5,2.3,6.0,.375,1.5,4.2,.360,0.8,1.8,.409,.500,2.0,2.3,.889,0.5,2.4,2.9,2.0,1.0,0.3,1.2,0.8,8.0
Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,0,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
Kyle Anderson,PF,27,MEM,13,13,29.7,4.6,11.0,.420,1.5,4.4,.333,3.2,6.6,.477,.486,1.8,2.3,.800,1.0,6.2,7.2,4.1,0.6,0.8,1.8,2.0,12.5
Giannis Antetokounmpo,PF,26,MIL,13,13,31.8,9.9,18.7,.531,1.5,5.0,.308,8.4,13.7,.612,.572,5.8,9.8,.586,1.7,8.5,10.2,5.3,1.2,1.1,3.5,3.2,27.2
Kostas Antetokounmpo,PF,23,LAL,1,0,8.0,0.0,2.0,.000,0.0,0.0,0,0.0,2.0,.000,.000,0.0,0.0,0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0
Carmelo Anthony,PF,36,POR,13,0,24.9,3.9,9.7,.405,1.8,4.0,.442,2.2,5.7,.378,.496,2.5,3.0,.846,0.2,2.8,3.1,1.2,0.9,0.5,0.8,2.2,12.2
Cole Anthony,PG,20,ORL,14,6,24.3,3.6,11.1,.321,0.8,3.5,.224,2.8,7.6,.364,.356,2.1,2.4,.882,0.9,3.4,4.3,3.3,0.7,0.3,1.7,1.9,10.1
Ryan Arcidiacono,PG,26,CHI,4,0,15.5,1.8,4.8,.368,1.3,3.0,.417,0.5,1.8,.286,.500,1.0,1.3,.800,0.0,3.0,3.0,2.8,0.5,0.0,0.5,1.8,5.8
D.J. Augustin,PG,33,MIL,13,0,18.5,1.7,5.2,.328,1.2,3.2,.357,0.5,1.9,.280,.440,1.2,1.2,1.000,0.5,0.7,1.2,2.6,0.4,0.0,1.0,0.5,5.8
Deandre Ayton,C,22,PHO,12,12,30.6,5.6,10.0,.558,0.1,0.5,.167,5.5,9.5,.579,.563,1.7,2.5,.667,3.0,8.7,11.7,1.9,0.3,1.0,1.9,3.3,12.9
Udoka Azubuike,C,21,UTA,7,0,4.6,0.4,0.7,.600,0.0,0.0,0,0.4,0.7,.600,.600,0.3,0.6,.500,0.3,0.7,1.0,0.0,0.1,0.3,0.3,0.6,1.1
Dwayne Bacon,SG,25,ORL,14,14,25.6,3.8,9.1,.414,0.6,2.1,.267,3.2,7.0,.459,.445,1.1,1.6,.682,0.4,2.6,3.0,0.9,0.4,0.1,0.7,1.9,9.2
Marvin Bagley III,PF,21,SAC,14,14,26.1,5.4,11.5,.466,1.0,2.8,.359,4.4,8.7,.500,.509,2.0,3.4,.596,2.1,5.6,7.8,0.9,0.4,0.6,1.8,2.5,13.7
LaMelo Ball,PG,19,CHO,14,0,25.2,4.4,11.0,.403,1.6,4.7,.333,2.9,6.3,.455,.474,1.4,2.0,.679,1.8,5.0,6.8,6.1,1.5,0.4,2.1,2.6,11.8
Lonzo Ball,PG,23,NOP,10,10,32.4,4.6,11.9,.387,2.0,7.1,.282,2.6,4.8,.542,.471,0.7,1.2,.583,0.5,3.5,4.0,4.4,1.3,0.6,2.6,2.8,11.9
Mo Bamba,C,22,ORL,4,0,8.3,2.0,4.5,.444,0.5,1.8,.286,1.5,2.8,.545,.500,0.5,0.8,.667,1.3,2.3,3.5,0.5,0.0,0.5,0.5,2.5,5.0
Desmond Bane,SG,22,MEM,13,0,21.9,3.2,6.7,.471,1.8,3.6,.489,1.4,3.1,.450,.603,0.5,0.7,.778,0.4,2.4,2.8,1.1,0.7,0.0,1.1,1.8,8.6
Harrison Barnes,PF,28,SAC,14,14,35.1,5.6,11.4,.491,1.4,3.6,.400,4.1,7.8,.532,.553,3.8,4.6,.815,0.9,5.4,6.4,3.2,0.7,0.2,1.5,1.0,16.4
RJ Barrett,SG,20,NYK,15,15,37.1,6.3,15.9,.395,0.9,4.3,.215,5.3,11.5,.462,.424,3.7,4.9,.753,1.6,6.0,7.6,3.4,0.8,0.3,1.9,2.2,17.1
Aron Baynes,C,34,TOR,10,10,15.8,1.8,4.9,.367,0.3,1.9,.158,1.5,3.0,.500,.398,0.0,0.0,0,1.2,3.3,4.5,0.4,0.1,0.0,0.8,2.3,3.9
Darius Bazley,PF,20,OKC,13,13,29.2,4.0,10.5,.380,1.3,4.8,.270,2.7,5.7,.473,.442,1.2,1.5,.842,0.8,6.4,7.2,1.4,0.5,1.1,1.8,1.2,10.5
Bradley Beal,SG,27,WAS,10,10,35.9,12.1,24.5,.494,2.4,6.4,.375,9.7,18.1,.536,.543,8.3,9.5,.874,1.5,3.8,5.3,5.0,1.4,0.7,3.3,2.5,34.9
Malik Beasley,SG,24,MIN,12,12,32.6,7.3,16.3,.444,2.8,7.1,.388,4.5,9.3,.486,.528,2.5,2.8,.882,0.7,4.1,4.8,2.1,0.6,0.3,1.3,1.4,19.8
Dāvis Bertāns,PF,28,WAS,11,0,24.0,3.5,9.3,.373,2.8,7.8,.360,0.6,1.5,.438,.525,2.1,2.5,.821,0.5,2.5,3.1,1.4,0.5,0.3,0.5,2.1,11.8
Patrick Beverley,PG,32,LAC,13,13,26.4,2.9,6.9,.422,2.0,4.5,.441,0.9,2.4,.387,.567,1.0,1.3,.765,1.4,2.9,4.3,2.2,0.8,0.8,0.8,3.6,8.8
Khem Birch,C,28,ORL,14,0,21.4,2.9,5.5,.519,0.1,0.3,.250,2.8,5.2,.534,.526,1.9,2.1,.867,2.6,3.6,6.1,1.1,0.9,0.4,0.5,2.0,7.6
Goga Bitadze,C,21,IND,1,0,16.0,2.0,5.0,.400,0.0,1.0,.000,2.0,4.0,.500,.400,1.0,2.0,.500,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,5.0
Bismack Biyombo,C,28,CHO,14,13,26.9,3.2,5.8,.556,0.0,0.1,.000,3.2,5.7,.563,.556,1.1,2.5,.457,2.7,4.6,7.3,1.8,0.2,1.4,1.3,2.6,7.6
Nemanja Bjelica,PF,32,SAC,10,0,15.1,2.1,5.1,.412,0.5,2.1,.238,1.6,3.0,.533,.461,1.9,2.3,.826,1.0,2.6,3.6,1.9,0.0,0.2,1.2,2.0,6.6
Eric Bledsoe,SG,31,NOP,12,11,28.7,4.3,9.8,.444,1.9,4.7,.411,2.4,5.1,.475,.543,1.3,1.8,.727,0.6,2.8,3.3,3.7,0.9,0.3,2.0,1.7,11.9
Bogdan Bogdanović,SG,28,ATL,9,2,23.7,3.3,8.7,.385,2.3,6.4,.362,1.0,2.2,.450,.519,0.9,1.0,.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2.0,9.9
Bol Bol,PF,21,DEN,8,2,6.5,0.8,1.9,.400,0.3,0.8,.333,0.5,1.1,.444,.467,0.0,0.0,0,0.0,0.8,0.8,0.1,0.0,0.4,0.6,0.9,1.8
Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,0,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
Jordan Bone,PG,23,ORL,9,0,16.9,2.0,4.2,.474,0.7,2.2,.300,1.3,2.0,.667,.553,0.0,0.0,0,0.3,1.9,2.2,1.2,0.2,0.0,0.3,0.7,4.7
Devin Booker,SG,24,PHO,12,12,35.4,7.8,17.0,.461,2.1,6.0,.347,5.8,11.0,.523,.522,4.3,5.3,.813,0.3,3.0,3.3,4.3,1.2,0.3,3.9,3.1,22.1
Chris Boucher,C,28,TOR,13,0,23.8,5.6,9.3,.603,1.8,3.8,.469,3.8,5.5,.694,.698,3.1,3.9,.784,2.2,4.8,7.0,1.1,0.6,2.5,0.6,3.0,16.1
Avery Bradley,SG,30,MIA,7,1,22.9,3.6,7.3,.490,1.9,4.1,.448,1.7,3.1,.545,.618,1.0,1.3,.778,0.1,1.7,1.9,1.7,0.9,0.1,0.7,2.6,10.0
Tony Bradley,C,23,PHI,5,0,13.4,2.2,4.6,.478,0.0,0.2,.000,2.2,4.4,.500,.478,0.2,0.6,.333,2.8,3.8,6.6,0.6,0.6,1.0,0.2,1.2,4.6
Jarrell Brantley,PF,24,UTA,2,0,3.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,0,.000,0.0,0.0,0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0
Miles Bridges,PF,22,CHO,14,0,25.9,3.4,7.6,.449,1.4,3.5,.408,2.0,4.1,.483,.542,1.0,1.1,.933,1.0,4.1,5.1,2.0,0.8,1.0,1.8,2.4,9.3
Malcolm Brogdon,PG,28,IND,13,13,36.6,8.5,18.1,.468,3.0,6.9,.433,5.5,11.2,.490,.551,2.3,2.6,.882,0.7,3.3,4.0,7.5,1.8,0.2,1.7,1.8,22.2
Bruce Brown,PG,24,BRK,11,5,16.5,2.5,4.5,.560,0.2,1.1,.167,2.4,3.5,.684,.580,0.5,0.6,.714,1.0,3.4,4.4,1.1,0.3,0.4,1.4,1.5,5.7
Jaylen Brown,SG,24,BOS,12,12,33.6,9.8,18.6,.529,2.4,5.9,.408,7.4,12.7,.586,.594,3.7,4.6,.800,1.3,4.6,5.8,3.8,1.6,0.6,2.8,2.8,25.8
